subject,psg,psg_bytes,hyp,hyp_bytes
SC4001,SC4001E0-PSG.edf,48338048,SC4001EC-Hypnogram.edf,4620
SC4011,SC4011E0-PSG.edf,51110528,SC4011EH-Hypnogram.edf,3896
SC4021,SC4021E0-PSG.edf,51147008,SC4021EH-Hypnogram.edf,4804
SC4031,SC4031E0-PSG.edf,51438848,SC4031EC-Hypnogram.edf,3700
SC4041,SC4041E0-PSG.edf,46878848,SC4041EC-Hypnogram.edf,4830
SC4051,SC4051E0-PSG.edf,49651328,SC4051EC-Hypnogram.edf,3976
SC4061,SC4061E0-PSG.edf,50526848,SC4061EC-Hypnogram.edf,2620
SC4071,SC4071E0-PSG.edf,51256448,SC4071EC-Hypnogram.edf,3628
SC4081,SC4081E0-PSG.edf,51001088,SC4081EC-Hypnogram.edf,4306
SC4091,SC4091E0-PSG.edf,49833728,SC4091EC-Hypnogram.edf,4474
SC4101,SC4101E0-PSG.edf,49614848,SC4101EC-Hypnogram.edf,2224
SC4111,SC4111E0-PSG.edf,48192128,SC4111EC-Hypnogram.edf,3876
SC4121,SC4121E0-PSG.edf,50818688,SC4121EC-Hypnogram.edf,4012
SC4131,SC4131E0-PSG.edf,51329408,SC4131EC-Hypnogram.edf,4442
SC4141,SC4141E0-PSG.edf,50271488,SC4141EU-Hypnogram.edf,3774
SC4151,SC4151E0-PSG.edf,47790848,SC4151EC-Hypnogram.edf,3164
SC4161,SC4161E0-PSG.edf,47900288,SC4161EC-Hypnogram.edf,4656
SC4171,SC4171E0-PSG.edf,50016128,SC4171EU-Hypnogram.edf,5380
SC4181,SC4181E0-PSG.edf,50271488,SC4181EC-Hypnogram.edf,4806
SC4191,SC4191E0-PSG.edf,50599808,SC4191EP-Hypnogram.edf,5282
SC4201,SC4201E0-PSG.edf,51147008,SC4201EC-Hypnogram.edf,2030
SC4211,SC4211E0-PSG.edf,51256448,SC4211EC-Hypnogram.edf,3658
SC4221,SC4221E0-PSG.edf,49250048,SC4221EJ-Hypnogram.edf,4896
SC4231,SC4231E0-PSG.edf,50089088,SC4231EJ-Hypnogram.edf,3520
SC4241,SC4241E0-PSG.edf,49286528,SC4241EC-Hypnogram.edf,2848
SC4251,SC4251E0-PSG.edf,50344448,SC4251EP-Hypnogram.edf,2724
SC4261,SC4261F0-PSG.edf,51074048,SC4261FM-Hypnogram.edf,5690
SC4271,SC4271F0-PSG.edf,44507648,SC4271FC-Hypnogram.edf,4262
SC4281,SC4281G0-PSG.edf,50855168,SC4281GC-Hypnogram.edf,3738
SC4291,SC4291G0-PSG.edf,50271488,SC4291GA-Hypnogram.edf,8502
SC4301,SC4301E0-PSG.edf,48265088,SC4301EC-Hypnogram.edf,3886
SC4311,SC4311E0-PSG.edf,48702848,SC4311EC-Hypnogram.edf,4252
SC4321,SC4321E0-PSG.edf,49067648,SC4321EC-Hypnogram.edf,2038
SC4331,SC4331F0-PSG.edf,51256448,SC4331FV-Hypnogram.edf,3790
SC4341,SC4341F0-PSG.edf,50162048,SC4341FA-Hypnogram.edf,1872
SC4351,SC4351F0-PSG.edf,49432448,SC4351FA-Hypnogram.edf,4592
