x,y,subject,stage
11.746,-25.746,SC4001,W
14.542,-26.622,SC4001,W
14.275,-25.751,SC4001,W
14.666,-28.492,SC4001,W
11.493,-24.795,SC4001,W
11.723,-23.927,SC4001,W
14.804,-26.11,SC4001,W
11.565,-24.777,SC4001,W
11.435,-25.205,SC4001,W
9.311,-23.927,SC4001,W
12.648,-24.391,SC4001,W
11.59,-25.669,SC4001,W
10.54,-24.652,SC4001,W
9.93,-23.892,SC4001,W
15.336,-26.711,SC4001,W
11.186,-26.495,SC4001,W
11.386,-24.31,SC4001,W
13.485,-26.332,SC4001,W
13.196,-24.986,SC4001,W
-4.685,-34.37,SC4001,W
12.286,-24.818,SC4001,W
12.328,-23.835,SC4001,W
12.001,-23.83,SC4001,W
-6.62,-33.991,SC4001,W
11.468,-24.999,SC4001,W
14.872,-26.106,SC4001,W
12.719,-23.631,SC4001,W
0.433,-41.184,SC4001,W
12.488,-24.783,SC4001,W
12.583,-25.117,SC4001,W
15.191,-27.422,SC4001,W
10.088,-23.814,SC4001,W
11.429,-24.476,SC4001,W
13.378,-26.109,SC4001,W
14.616,-24.756,SC4001,W
11.192,-25.981,SC4001,W
14.286,-28.335,SC4001,W
15.087,-26.892,SC4001,W
19.676,-51.64,SC4001,W
14.595,-28.315,SC4001,W
-2.059,-35.557,SC4001,N1
-2.81,-35.235,SC4001,N1
-6.369,-37.799,SC4001,N1
-7.08,-42.9,SC4001,N1
-0.555,-34.877,SC4001,N1
-5.582,-41.548,SC4001,N1
-0.923,-34.88,SC4001,N1
-0.936,-34.81,SC4001,N1
-6.154,-35.062,SC4001,N1
-0.265,-35.034,SC4001,N1
-2.491,-37.381,SC4001,N1
-7.91,-35.407,SC4001,N1
-7.588,-35.942,SC4001,N1
-5.867,-42.216,SC4001,N1
-0.721,-36.39,SC4001,N1
0.051,-34.726,SC4001,N1
-6.158,-44.049,SC4001,N1
-0.525,-34.849,SC4001,N1
-15.482,55.424,SC4001,N1
0.009,-34.584,SC4001,N1
-17.312,-33.552,SC4001,N1
-1.757,-38.361,SC4001,N1
-5.335,-40.698,SC4001,N1
-0.119,-36.738,SC4001,N1
-2.083,-34.984,SC4001,N1
-0.93,-34.635,SC4001,N1
-17.33,-33.503,SC4001,N1
-4.553,-37.543,SC4001,N1
-8.023,-35.173,SC4001,N1
-2.694,-35.507,SC4001,N1
-5.276,-34.056,SC4001,N1
-7.864,-35.203,SC4001,N1
-0.465,-37.009,SC4001,N1
-0.597,-36.801,SC4001,N1
-5.148,-41.589,SC4001,N1
-5.167,-41.541,SC4001,N1
2.414,-48.757,SC4001,N1
21.478,21.568,SC4001,N1
-4.779,-33.363,SC4001,N1
-4.831,-33.403,SC4001,N1
2.524,-48.596,SC4001,N2
4.903,-47.505,SC4001,N2
-22.682,-4.365,SC4001,N2
3.376,-44.856,SC4001,N2
21.206,-47.556,SC4001,N2
-3.994,-43.615,SC4001,N2
4.069,-44.7,SC4001,N2
0.72,-37.621,SC4001,N2
-5.739,-44.051,SC4001,N2
7.186,-44.562,SC4001,N2
3.155,-46.006,SC4001,N2
5.775,-41.783,SC4001,N2
-2.954,-42.67,SC4001,N2
-3.905,-43.503,SC4001,N2
-3.808,-42.449,SC4001,N2
-0.353,-37.908,SC4001,N2
6.721,-45.505,SC4001,N2
5.592,-42.205,SC4001,N2
-5.234,-43.101,SC4001,N2
-5.408,-43.097,SC4001,N2
5.642,-41.779,SC4001,N2
4.881,-44.684,SC4001,N2
-22.56,-4.411,SC4001,N2
-3.928,-38.52,SC4001,N2
5.639,-44.554,SC4001,N2
-5.223,-43.291,SC4001,N2
-1.402,-33.564,SC4001,N2
7.442,-44.355,SC4001,N2
5.589,-40.791,SC4001,N2
6.928,-42.444,SC4001,N2
-3.36,-42.721,SC4001,N2
-6.293,-35.11,SC4001,N2
5.652,-41.917,SC4001,N2
7.345,-44.391,SC4001,N2
4.83,-45.386,SC4001,N2
5.39,-44.398,SC4001,N2
2.869,-44.989,SC4001,N2
-4.385,-40.865,SC4001,N2
2.83,-40.484,SC4001,N2
2.39,-46.028,SC4001,N2
2.355,-45.067,SC4001,N3
7.74,-48.555,SC4001,N3
4.539,-46.963,SC4001,N3
6.843,-47.634,SC4001,N3
-0.574,-38.388,SC4001,N3
8.609,-45.844,SC4001,N3
2.677,-45.52,SC4001,N3
3.436,-46.085,SC4001,N3
9.182,-48.214,SC4001,N3
6.703,-45.509,SC4001,N3
8.544,-46.859,SC4001,N3
8.431,-47.569,SC4001,N3
7.158,-49.08,SC4001,N3
8.901,-47.818,SC4001,N3
6.923,-48.954,SC4001,N3
8.133,-48.905,SC4001,N3
8.928,-46.526,SC4001,N3
8.807,-49.341,SC4001,N3
8.558,-49.186,SC4001,N3
7.292,-48.733,SC4001,N3
7.614,-49.417,SC4001,N3
7.325,-48.192,SC4001,N3
6.305,-44.787,SC4001,N3
8.528,-48.579,SC4001,N3
6.413,-49.037,SC4001,N3
8.284,-47.158,SC4001,N3
6.484,-48.024,SC4001,N3
7.638,-48.363,SC4001,N3
5.765,-47.598,SC4001,N3
8.97,-49.841,SC4001,N3
3.234,-45.955,SC4001,N3
4.936,-47.47,SC4001,N3
8.475,-49.644,SC4001,N3
5.104,-46.72,SC4001,N3
8.861,-49.167,SC4001,N3
4.425,-47.421,SC4001,N3
8.592,-49.037,SC4001,N3
7.882,-48.352,SC4001,N3
5.27,-47.945,SC4001,N3
9.795,-47.916,SC4001,N3
-4.735,-37.917,SC4001,REM
-2.69,-36.174,SC4001,REM
-2.642,-36.601,SC4001,REM
-6.808,-37.695,SC4001,REM
-5.712,-36.531,SC4001,REM
-3.577,-36.86,SC4001,REM
-4.654,-36.681,SC4001,REM
-5.302,-37.172,SC4001,REM
-4.847,-37.0,SC4001,REM
-6.178,-39.281,SC4001,REM
-3.172,-37.776,SC4001,REM
-3.597,-37.126,SC4001,REM
-6.427,-38.184,SC4001,REM
-4.952,-37.48,SC4001,REM
-5.095,-39.551,SC4001,REM
-6.567,-38.127,SC4001,REM
-0.404,-36.435,SC4001,REM
-2.357,-36.6,SC4001,REM
-2.731,-37.529,SC4001,REM
0.617,-37.23,SC4001,REM
-3.05,-36.613,SC4001,REM
-3.996,-37.493,SC4001,REM
-5.117,-38.714,SC4001,REM
-2.47,-36.898,SC4001,REM
-1.566,-36.643,SC4001,REM
-4.097,-38.606,SC4001,REM
-3.099,-36.585,SC4001,REM
-3.937,-37.246,SC4001,REM
-5.993,-38.866,SC4001,REM
-4.774,-37.288,SC4001,REM
-2.629,-36.231,SC4001,REM
-5.192,-38.843,SC4001,REM
-6.204,-37.544,SC4001,REM
-6.179,-38.101,SC4001,REM
-3.13,-36.649,SC4001,REM
-1.794,-36.388,SC4001,REM
-4.089,-37.961,SC4001,REM
-3.356,-36.758,SC4001,REM
-5.237,-38.164,SC4001,REM
-1.554,-32.666,SC4001,REM
17.376,68.431,SC4031,W
18.594,70.029,SC4031,W
17.878,70.198,SC4031,W
18.806,69.063,SC4031,W
18.784,69.552,SC4031,W
